Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;UseSort;InputSize;Consumer;Mean;Error;StdDev;Gen 0;Gen 1;Gen 2;Allocated
Benchmark;Core31;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 3.1;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;1;5;Default;1;Default;Default;Default;Default;ColdStart;1;1;True;100000;Array;310.14 ms;63.60 ms;16.516 ms;0.0000;0.0000;0.0000;781767.99 KB
Benchmark;Core50;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 5.0;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;1;5;Default;1;Default;Default;Default;Default;ColdStart;1;1;True;100000;Array;299.19 ms;17.04 ms;4.425 ms;0.0000;0.0000;0.0000;781768.31 KB
Benchmark;Core31;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 3.1;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;1;5;Default;1;Default;Default;Default;Default;ColdStart;1;1;True;100000;ConcurrentDictionary;26.70 ms;41.87 ms;10.874 ms;0.0000;0.0000;0.0000;7154.84 KB
Benchmark;Core50;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 5.0;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;1;5;Default;1;Default;Default;Default;Default;ColdStart;1;1;True;100000;ConcurrentDictionary;24.58 ms;26.95 ms;7.000 ms;0.0000;0.0000;0.0000;7154.48 KB
Benchmark;Core31;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 3.1;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;1;5;Default;1;Default;Default;Default;Default;ColdStart;1;1;True;100000;Dictionary;581.96 ms;71.86 ms;18.662 ms;0.0000;0.0000;0.0000;1172393.02 KB
Benchmark;Core50;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 5.0;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;1;5;Default;1;Default;Default;Default;Default;ColdStart;1;1;True;100000;Dictionary;647.06 ms;38.17 ms;9.912 ms;0.0000;0.0000;0.0000;1172393.27 KB
Benchmark;Core31;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 3.1;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;1;5;Default;1;Default;Default;Default;Default;ColdStart;1;1;True;100000;LinkedList;22.60 ms;21.86 ms;5.677 ms;0.0000;0.0000;0.0000;7548.9 KB
Benchmark;Core50;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 5.0;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;1;5;Default;1;Default;Default;Default;Default;ColdStart;1;1;True;100000;LinkedList;20.14 ms;13.32 ms;3.459 ms;0.0000;0.0000;0.0000;7548.68 KB
Benchmark;Core31;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 3.1;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;1;5;Default;1;Default;Default;Default;Default;ColdStart;1;1;True;100000;List;17.49 ms;26.82 ms;6.965 ms;0.0000;0.0000;0.0000;6957.42 KB
Benchmark;Core50;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 5.0;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;1;5;Default;1;Default;Default;Default;Default;ColdStart;1;1;True;100000;List;15.03 ms;13.03 ms;3.384 ms;0.0000;0.0000;0.0000;6957.2 KB
