Runtime,ValuesRange,UseSort,InputSize,Consumer,Mean,Error,StdDev,Gen0,Gen1,Gen2,Allocated
Core31,100000000,FALSE,100000,Array,23.339,7.661,5.068,0,0,0,517.53
Core50,100000000,FALSE,100000,Array,22.003,3.683,2.436,0,0,0,517.31
Core31,100000000,FALSE,100000,ConcurrentDictionary,19.807,11.055,7.312,0,0,0,517.53
Core50,100000000,FALSE,100000,ConcurrentDictionary,19.66,7.301,4.829,0,0,0,517.31
Core31,100000000,FALSE,100000,Dictionary,40.443,7.725,5.11,0,0,0,517.53
Core50,100000000,FALSE,100000,Dictionary,37.575,4.361,2.885,0,0,0,517.31
Core31,100000000,FALSE,100000,LinkedList,17.178,7.488,4.953,0,0,0,5205.03
Core50,100000000,FALSE,100000,LinkedList,15.648,3.982,2.634,0,0,0,5204.81
Core31,100000000,FALSE,100000,List,14.067,6.324,4.183,0,0,0,8709.55
Core50,100000000,FALSE,100000,List,12.586,3.875,2.563,0,0,0,8709.34
Core31,100000000,FALSE,100000,Void,11.29,6.443,4.261,0,0,0,517.53
Core50,100000000,FALSE,100000,Void,9.744,4.451,2.944,0,0,0,517.31
Core31,100000000,FALSE,1000000,Array,204.687,15.879,10.503,0,0,0,4102.84
Core50,100000000,FALSE,1000000,Array,198.972,15.182,10.042,0,0,0,4102.63
Core31,100000000,FALSE,1000000,ConcurrentDictionary,272.153,48.323,31.963,0,0,0,4102.84
Core50,100000000,FALSE,1000000,ConcurrentDictionary,279.906,44.076,29.154,0,0,0,4103.12
Core31,100000000,FALSE,1000000,Dictionary,352.211,16.301,10.782,0,0,0,4102.96
Core50,100000000,FALSE,1000000,Dictionary,341.431,12.326,8.153,0,0,0,4102.85
Core31,100000000,FALSE,1000000,LinkedList,146.07,23.261,15.385,0,0,0,50977.84
Core50,100000000,FALSE,1000000,LinkedList,143.389,19.521,12.912,0,0,0,50977.63
Core31,100000000,FALSE,1000000,List,125.592,22.154,14.654,0,0,0,4102.84
Core50,100000000,FALSE,1000000,List,120.348,11.167,7.387,0,0,0,4102.63
Core31,100000000,FALSE,1000000,Void,93.962,18.518,12.249,0,0,0,4103.1
Core50,100000000,FALSE,1000000,Void,88.878,27.225,18.008,0,0,0,4102.63
Core31,100000000,FALSE,5000000,Array,980.425,44.942,29.726,0,0,0,32776.2
Core50,100000000,FALSE,5000000,Array,981.478,40.777,26.972,0,0,0,32776.05
Core31,100000000,FALSE,5000000,ConcurrentDictionary,1658.26,313.878,207.611,0,0,0,32776.2
Core50,100000000,FALSE,5000000,ConcurrentDictionary,1722.28,401.373,265.483,0,0,0,32776.26
Core31,100000000,FALSE,5000000,Dictionary,1743.56,35.194,23.279,0,0,0,32776.2
Core50,100000000,FALSE,5000000,Dictionary,1683.59,35.817,23.691,0,0,0,32776.05
